Date,Open,High,Low,Close,Volume,Change
2023-10-19,50,48,50,46,0,-1
2023-10-18,50,48,51,47,0,3
2023-10-17,48,48,49,46,0,0
2023-10-16,48,52,52,48,0,-10
2023-10-13,53,53,55,51,0,1
2023-10-13,53,53,55,51,0,1
2023-10-13,53,53,55,51,0,1
2023-10-12,53,45,53,45,1,15
2023-10-11,46,48,49,45,3,-6
2023-10-10,49,46,49,45,2,12
2023-10-09,43,41,44,40,0,14
2023-10-06,38,36,38,35,2,5
2023-10-06,38,36,38,35,2,5
2023-10-06,38,36,38,35,2,5
2023-10-05,36,37,37,36,1,-5
2023-10-04,38,37,38,36,1,3
2023-10-03,36,37,37,35,1,-5
2023-10-02,39,40,40,38,1,-6
2023-09-29,41,43,43,41,2,5
2023-09-29,41,43,43,41,2,5
2023-09-29,41,43,43,41,2,5
2023-09-28,39,40,41,39,1,1
2023-09-27,39,39,39,38,0,-2
2023-09-26,40,42,42,39,0,-9
2023-09-25,44,39,44,39,0,11
2023-09-22,39,39,41,39,2,1
2023-09-22,39,39,41,39,2,1
2023-09-22,39,39,41,39,2,1
2023-09-21,39,35,39,35,4,4
2023-09-20,37,38,39,35,2,1
2023-09-19,36,34,37,34,1,6
2023-09-18,34,34,35,33,2,-5
2023-09-15,36,35,36,34,2,2
2023-09-15,36,35,36,34,2,2
2023-09-15,36,35,36,34,2,2
2023-09-14,35,37,37,35,2,-3
2023-09-13,36,35,37,35,1,6
2023-09-12,34,35,36,34,1,-3
2023-09-11,35,36,37,35,1,3
2023-09-08,34,35,36,33,1,5
2023-09-08,34,35,36,33,1,5
2023-09-08,34,35,36,33,1,5
2023-09-07,32,30,33,30,0,5
2023-09-06,31,33,34,30,2,-9
2023-09-05,34,36,37,32,3,-3
2023-09-01,35,35,37,34,3,1
2023-09-01,35,35,37,34,3,1
2023-09-01,35,35,37,34,3,1
2023-09-01,35,35,37,34,3,1
2023-08-31,35,39,39,34,2,-2
2023-08-30,35,34,36,34,3,2
2023-08-29,35,36,36,34,1,-8
2023-08-28,38,35,38,35,0,10
2023-08-25,34,34,35,33,0,8
2023-08-25,34,34,35,33,0,8
2023-08-25,34,34,35,33,0,8
2023-08-24,31,33,33,31,0,-13
2023-08-23,36,41,42,36,0,-14
2023-08-22,42,39,44,39,5,5
2023-08-21,40,38,40,38,0,12
2023-08-18,36,36,37,35,0,-1
2023-08-18,36,36,37,35,0,-1
2023-08-18,36,36,37,35,0,-1
2023-08-17,36,37,39,36,0,-2
2023-08-16,37,41,41,37,1,-2
2023-08-15,38,36,40,36,1,12
2023-08-14,34,36,36,33,0,-2
2023-08-11,35,37,37,35,0,-4
2023-08-11,35,37,37,35,0,-4
2023-08-11,35,37,37,35,0,-4
2023-08-10,37,37,39,36,1,-6
2023-08-09,39,33,43,33,0,28
2023-08-08,31,29,31,29,0,1
